AMC Code,AMC Name,AMC Image
149837,Aditya Birla Sun Life Mutual Fund,
101314,Aditya Birla Sun Life Mutual Fund,
148811,Aditya Birla Sun Life Mutual Fund,
148805,Aditya Birla Sun Life Mutual Fund,
148965,Aditya Birla Sun Life Mutual Fund,
103174,Aditya Birla Sun Life Mutual Fund,
101635,DSP Mutual Fund,
141875,DSP Mutual Fund,
146379,DSP Mutual Fund,
146380,DSP Mutual Fund,
149869,HDFC Mutual Fund,
149871,HDFC Mutual Fund,
102000,HDFC Mutual Fund,
101525,HDFC Mutual Fund,
101281,HDFC Mutual Fund,
149106,HDFC Mutual Fund,
149287,HDFC Mutual Fund,
101594,HSBC Mutual Fund,
149281,ICICI Prudential Mutual Fund,
108466,ICICI Prudential Mutual Fund,
101349,ICICI Prudential Mutual Fund,
141839,ICICI Prudential Mutual Fund,
149390,ICICI Prudential Mutual Fund,
149859,ICICI Prudential Mutual Fund,
108799,IDFC Mutual Fund,
112877,IDFC Mutual Fund,
149833,IDFC Mutual Fund,
114458,Kotak Mutual Fund,
148743,Kotak Mutual Fund,
148974,Kotak Mutual Fund,
118069,L&T Mutual Fund,
148361,L&T Mutual Fund,
148365,L&T Mutual Fund,
146551,Mahindra Manulife Mutual Fund,
102272,SBI Mutual Fund,
103504,SBI Mutual Fund,
148943,SBI Mutual Fund,
101659,Tata Mutual Fund,
101746,Tata Mutual Fund,
100475,Tata Mutual Fund,
141247,Union Mutual Fund,
149783,Aditya Birla Sun Life Mutual Fund,
101317,Aditya Birla Sun Life Mutual Fund,
101976,Aditya Birla Sun Life Mutual Fund,
101818,Aditya Birla Sun Life Mutual Fund,
100058,Aditya Birla Sun Life Mutual Fund,
116796,Aditya Birla Sun Life Mutual Fund,
100087,DSP Mutual Fund,
104138,DSP Mutual Fund,
100084,DSP Mutual Fund,
149968,DSP Mutual Fund,
101993,HDFC Mutual Fund,
115934,HDFC Mutual Fund,
101083,HDFC Mutual Fund,
102147,HDFC Mutual Fund,
145040,HDFC Mutual Fund,
149963,HSBC Mutual Fund,
147907,HSBC Mutual Fund,
102262,HSBC Mutual Fund,
103633,ICICI Prudential Mutual Fund,
102330,ICICI Prudential Mutual Fund,
115092,ICICI Prudential Mutual Fund,
115833,ICICI Prudential Mutual Fund,
100369,ICICI Prudential Mutual Fund,
149998,ICICI Prudential Mutual Fund,
108756,IDFC Mutual Fund,
144171,IDFC Mutual Fund,
148786,IDFC Mutual Fund,
148790,IDFC Mutual Fund,
100281,Kotak Mutual Fund,
100265,Kotak Mutual Fund,
102591,Kotak Mutual Fund,
114859,Kotak Mutual Fund,
114758,Kotak Mutual Fund,
101893,Kotak Mutual Fund,
112423,L&T Mutual Fund,
114216,L&T Mutual Fund,
112487,L&T Mutual Fund,
112429,L&T Mutual Fund,
147734,Mahindra Manulife Mutual Fund,
148959,PPFAS Mutual Fund,
101001,SBI Mutual Fund,
102503,SBI Mutual Fund,
100641,SBI Mutual Fund,
115676,SBI Mutual Fund,
100968,SBI Mutual Fund,
101042,Tata Mutual Fund,
101847,Tata Mutual Fund,
146070,Tata Mutual Fund,
149116,Union Mutual Fund,
147307,WhiteOak Capital Mutual Fund,
-,Aditya Birla Sun Life Mutual Fund,
107745,Aditya Birla Sun Life Mutual Fund,
104331,Aditya Birla Sun Life Mutual Fund,
108167,Aditya Birla Sun Life Mutual Fund,
104772,DSP Mutual Fund,
148594,DSP Mutual Fund,
101979,HDFC Mutual Fund,
101764,HDFC Mutual Fund,
104707,HSBC Mutual Fund,
149777,ICICI Prudential Mutual Fund,
102594,ICICI Prudential Mutual Fund,
100354,ICICI Prudential Mutual Fund,
108909,IDFC Mutual Fund,
111569,IDFC Mutual Fund,
103339,Kotak Mutual Fund,
118102,L&T Mutual Fund,
118047,L&T Mutual Fund,
139783,Mahindra Manulife Mutual Fund,
147482,PPFAS Mutual Fund,
105628,SBI Mutual Fund,
145820,Shriram Mutual Fund,
101672,Tata Mutual Fund,
132757,Tata Mutual Fund,
116051,Union Mutual Fund,
145471,Union Mutual Fund,
131864,Aditya Birla Sun Life Mutual Fund,
132178,Aditya Birla Sun Life Mutual Fund,
132174,Aditya Birla Sun Life Mutual Fund,
132180,Aditya Birla Sun Life Mutual Fund,
122644,Aditya Birla Sun Life Mutual Fund,
103178,Aditya Birla Sun Life Mutual Fund,
102767,Aditya Birla Sun Life Mutual Fund,
101844,Aditya Birla Sun Life Mutual Fund,
103192,Aditya Birla Sun Life Mutual Fund,
108273,Aditya Birla Sun Life Mutual Fund,
147804,Aditya Birla Sun Life Mutual Fund,
147807,Aditya Birla Sun Life Mutual Fund,
147820,Aditya Birla Sun Life Mutual Fund,
105669,DSP Mutual Fund,
124172,DSP Mutual Fund,
131297,DSP Mutual Fund,
133926,DSP Mutual Fund,
144644,DSP Mutual Fund,
148768,DSP Mutual Fund,
101304,DSP Mutual Fund,
101872,HDFC Mutual Fund,
102452,HDFC Mutual Fund,
128628,HDFC Mutual Fund,
106841,HDFC Mutual Fund,
130533,HDFC Mutual Fund,
113070,HDFC Mutual Fund,
113047,HDFC Mutual Fund,
148496,HSBC Mutual Fund,
106737,HSBC Mutual Fund,
129065,HSBC Mutual Fund,
101599,HSBC Mutual Fund,
104344,HSBC Mutual Fund,
111987,ICICI Prudential Mutual Fund,
101619,ICICI Prudential Mutual Fund,
101802,ICICI Prudential Mutual Fund,
112342,ICICI Prudential Mutual Fund,
112096,ICICI Prudential Mutual Fund,
101758,ICICI Prudential Mutual Fund,
131051,ICICI Prudential Mutual Fund,
149439,ICICI Prudential Mutual Fund,
102139,ICICI Prudential Mutual Fund,
102137,ICICI Prudential Mutual Fund,
102135,ICICI Prudential Mutual Fund,
102141,ICICI Prudential Mutual Fund,
112327,IDFC Mutual Fund,
112329,IDFC Mutual Fund,
112332,IDFC Mutual Fund,
108545,IDFC Mutual Fund,
108632,IDFC Mutual Fund,
121280,IDFC Mutual Fund,
135914,IDFC Mutual Fund,
108768,IDFC Mutual Fund,
148705,IDFC Mutual Fund,
111524,IDFC Mutual Fund,
108753,IDFC Mutual Fund,
122612,IIFL Mutual Fund,
102574,Kotak Mutual Fund,
123690,Kotak Mutual Fund,
108511,Kotak Mutual Fund,
133805,Kotak Mutual Fund,
133782,Kotak Mutual Fund,
147266,Kotak Mutual Fund,
112410,L&T Mutual Fund,
116299,L&T Mutual Fund,
118133,L&T Mutual Fund,
118078,L&T Mutual Fund,
118053,L&T Mutual Fund,
144401,Mahindra Manulife Mutual Fund,
148727,Mahindra Manulife Mutual Fund,
140620,Mahindra Manulife Mutual Fund,
101002,SBI Mutual Fund,
102205,SBI Mutual Fund,
106231,SBI Mutual Fund,
106227,SBI Mutual Fund,
146207,SBI Mutual Fund,
148543,SBI Mutual Fund,
106212,SBI Mutual Fund,
147635,Tata Mutual Fund,
149351,Tata Mutual Fund,
101909,Tata Mutual Fund,
103159,Tata Mutual Fund,
147399,Tata Mutual Fund,
149003,Tata Mutual Fund,
147384,Tata Mutual Fund,
101548,Tata Mutual Fund,
143239,Union Mutual Fund,
116555,Union Mutual Fund,
131666,Aditya Birla Sun Life Mutual Fund,
100033,Aditya Birla Sun Life Mutual Fund,
100064,Aditya Birla Sun Life Mutual Fund,
132998,Aditya Birla Sun Life Mutual Fund,
133513,Aditya Birla Sun Life Mutual Fund,
103166,Aditya Birla Sun Life Mutual Fund,
147846,Aditya Birla Sun Life Mutual Fund,
148537,Aditya Birla Sun Life Mutual Fund,
148635,Aditya Birla Sun Life Mutual Fund,
148918,Aditya Birla Sun Life Mutual Fund,
149296,Aditya Birla Sun Life Mutual Fund,
105875,DSP Mutual Fund,
108202,DSP Mutual Fund,
103819,DSP Mutual Fund,
126394,DSP Mutual Fund,
136563,DSP Mutual Fund,
147303,DSP Mutual Fund,
100119,HDFC Mutual Fund,
130496,HDFC Mutual Fund,
149366,HDFC Mutual Fund,
141923,HDFC Mutual Fund,
101585,HDFC Mutual Fund,
101762,HDFC Mutual Fund,
102252,HSBC Mutual Fund,
146771,HSBC Mutual Fund,
100349,ICICI Prudential Mutual Fund,
101228,ICICI Prudential Mutual Fund,
104685,ICICI Prudential Mutual Fund,
133051,ICICI Prudential Mutual Fund,
147345,ICICI Prudential Mutual Fund,
145077,ICICI Prudential Mutual Fund,
145896,ICICI Prudential Mutual Fund,
147661,ICICI Prudential Mutual Fund,
148033,ICICI Prudential Mutual Fund,
148517,ICICI Prudential Mutual Fund,
148598,ICICI Prudential Mutual Fund,
148653,ICICI Prudential Mutual Fund,
149157,ICICI Prudential Mutual Fund,
148989,ICICI Prudential Mutual Fund,
149334,ICICI Prudential Mutual Fund,
150308,ICICI Prudential Mutual Fund,
143904,ICICI Prudential Mutual Fund,
102133,ICICI Prudential Mutual Fund,
103312,ICICI Prudential Mutual Fund,
108596,IDFC Mutual Fund,
108594,IDFC Mutual Fund,
108995,IDFC Mutual Fund,
149305,IDFC Mutual Fund,
131357,IDFC Mutual Fund,
149317,IIFL Mutual Fund,
103234,Kotak Mutual Fund,
149182,Kotak Mutual Fund,
103040,Kotak Mutual Fund,
112090,Kotak Mutual Fund,
149840,Kotak Mutual Fund,
131372,Kotak Mutual Fund,
144333,Kotak Mutual Fund,
147724,Kotak Mutual Fund,
148602,Kotak Mutual Fund,
115887,L&T Mutual Fund,
118194,L&T Mutual Fund,
118043,L&T Mutual Fund,
118049,L&T Mutual Fund,
130827,L&T Mutual Fund,
149404,Mahindra Manulife Mutual Fund,
141224,Mahindra Manulife Mutual Fund,
140447,Mahindra Manulife Mutual Fund,
149101,Mahindra Manulife Mutual Fund,
147843,Mahindra Manulife Mutual Fund,
145355,Mahindra Manulife Mutual Fund,
122640,PPFAS Mutual Fund,
102414,SBI Mutual Fund,
103145,SBI Mutual Fund,
103215,SBI Mutual Fund,
113099,SBI Mutual Fund,
134644,SBI Mutual Fund,
146644,SBI Mutual Fund,
149132,SBI Mutual Fund,
149886,SBI Mutual Fund,
103024,SBI Mutual Fund,
104523,SBI Mutual Fund,
103034,SBI Mutual Fund,
144902,Shriram Mutual Fund,
147405,Shriram Mutual Fund,
146007,Tata Mutual Fund,
149068,Tata Mutual Fund,
101824,Tata Mutual Fund,
150345,Tata Mutual Fund,
101906,Tata Mutual Fund,
144548,Tata Mutual Fund,
147867,Tata Mutual Fund,
135815,Tata Mutual Fund,
100415,Tata Mutual Fund,
115270,Union Mutual Fund,
144310,Union Mutual Fund,
147748,Union Mutual Fund,
142035,Union Mutual Fund,
150354,Aditya Birla Sun Life Mutual Fund,
150351,Aditya Birla Sun Life Mutual Fund,
111349,Aditya Birla Sun Life Mutual Fund,
106873,Aditya Birla Sun Life Mutual Fund,
100038,Aditya Birla Sun Life Mutual Fund,
111803,Aditya Birla Sun Life Mutual Fund,
132005,Aditya Birla Sun Life Mutual Fund,
132138,Aditya Birla Sun Life Mutual Fund,
149198,Aditya Birla Sun Life Mutual Fund,
149290,Aditya Birla Sun Life Mutual Fund,
149792,Aditya Birla Sun Life Mutual Fund,
106597,DSP Mutual Fund,
100078,DSP Mutual Fund,
112126,DSP Mutual Fund,
112293,DSP Mutual Fund,
115882,DSP Mutual Fund,
117691,DSP Mutual Fund,
130492,DSP Mutual Fund,
149817,DSP Mutual Fund,
101989,HDFC Mutual Fund,
148901,HDFC Mutual Fund,
149181,HDFC Mutual Fund,
100124,HDFC Mutual Fund,
127073,HSBC Mutual Fund,
115116,HSBC Mutual Fund,
107988,HSBC Mutual Fund,
148735,HSBC Mutual Fund,
101685,HSBC Mutual Fund,
109740,ICICI Prudential Mutual Fund,
102741,ICICI Prudential Mutual Fund,
117620,ICICI Prudential Mutual Fund,
123651,ICICI Prudential Mutual Fund,
147647,ICICI Prudential Mutual Fund,
149208,ICICI Prudential Mutual Fund,
149456,ICICI Prudential Mutual Fund,
108728,IDFC Mutual Fund,
149100,IDFC Mutual Fund,
112398,IDFC Mutual Fund,
108765,IDFC Mutual Fund,
100299,Kotak Mutual Fund,
106441,Kotak Mutual Fund,
149852,Kotak Mutual Fund,
128009,Kotak Mutual Fund,
148645,Kotak Mutual Fund,
148661,Kotak Mutual Fund,
149056,Kotak Mutual Fund,
133607,L&T Mutual Fund,
149228,Mahindra Manulife Mutual Fund,
102053,SBI Mutual Fund,
103408,SBI Mutual Fund,
149472,SBI Mutual Fund,
100639,SBI Mutual Fund,
101703,Tata Mutual Fund,
100418,Tata Mutual Fund,
150330,Tata Mutual Fund,
148477,Union Mutual Fund,
101592,Aditya Birla Sun Life Mutual Fund,
103309,Aditya Birla Sun Life Mutual Fund,
105804,Aditya Birla Sun Life Mutual Fund,
106876,Aditya Birla Sun Life Mutual Fund,
104481,DSP Mutual Fund,
105989,DSP Mutual Fund,
112901,DSP Mutual Fund,
130502,HDFC Mutual Fund,
102760,HDFC Mutual Fund,
105758,HDFC Mutual Fund,
103131,HDFC Mutual Fund,
148409,HSBC Mutual Fund,
149152,HSBC Mutual Fund,
149153,HSBC Mutual Fund,
103006,HSBC Mutual Fund,
111957,ICICI Prudential Mutual Fund,
101144,ICICI Prudential Mutual Fund,
115269,ICICI Prudential Mutual Fund,
149218,ICICI Prudential Mutual Fund,
106823,ICICI Prudential Mutual Fund,
102528,ICICI Prudential Mutual Fund,
108592,IDFC Mutual Fund,
147944,IDFC Mutual Fund,
131578,IIFL Mutual Fund,
102875,Kotak Mutual Fund,
104908,Kotak Mutual Fund,
147477,Kotak Mutual Fund,
112496,L&T Mutual Fund,
129223,L&T Mutual Fund,
145378,L&T Mutual Fund,
142109,Mahindra Manulife Mutual Fund,
148571,Mahindra Manulife Mutual Fund,
102756,SBI Mutual Fund,
102941,SBI Mutual Fund,
125494,SBI Mutual Fund,
148762,SBI Mutual Fund,
147760,Tata Mutual Fund,
102328,Tata Mutual Fund,
148050,Tata Mutual Fund,
145208,Tata Mutual Fund,
147490,Union Mutual Fund,
148071,Union Mutual Fund,
129647,Union Mutual Fund,
134383,Aditya Birla Sun Life Mutual Fund,
101837,DSP Mutual Fund,
128053,HDFC Mutual Fund,
114239,ICICI Prudential Mutual Fund,
100365,ICICI Prudential Mutual Fund,
140609,IDFC Mutual Fund,
117716,Kotak Mutual Fund,
149862,Kotak Mutual Fund,
112632,L&T Mutual Fund,
102505,SBI Mutual Fund,
125595,Aditya Birla Sun Life Mutual Fund,
103168,Aditya Birla Sun Life Mutual Fund,
103111,Aditya Birla Sun Life Mutual Fund,
103476,Aditya Birla Sun Life Mutual Fund,
147407,Aditya Birla Sun Life Mutual Fund,
103155,Aditya Birla Sun Life Mutual Fund,
100081,DSP Mutual Fund,
102434,DSP Mutual Fund,
145456,DSP Mutual Fund,
148987,HDFC Mutual Fund,
107524,HDFC Mutual Fund,
102948,HDFC Mutual Fund,
103407,HSBC Mutual Fund,
145227,HSBC Mutual Fund,
103149,ICICI Prudential Mutual Fund,
109445,ICICI Prudential Mutual Fund,
143873,ICICI Prudential Mutual Fund,
100356,ICICI Prudential Mutual Fund,
100363,ICICI Prudential Mutual Fund,
114476,IDFC Mutual Fund,
140381,IDFC Mutual Fund,
133796,Kotak Mutual Fund,
133036,Kotak Mutual Fund,
112600,L&T Mutual Fund,
118191,L&T Mutual Fund,
147447,Mahindra Manulife Mutual Fund,
120576,SBI Mutual Fund,
120577,SBI Mutual Fund,
102823,SBI Mutual Fund,
106096,SBI Mutual Fund,
102885,SBI Mutual Fund,
133858,SBI Mutual Fund,
125713,Shriram Mutual Fund,
100414,Tata Mutual Fund,
135794,Tata Mutual Fund,
135797,Tata Mutual Fund,
135804,Tata Mutual Fund,
101766,Tata Mutual Fund,
135812,Tata Mutual Fund,
148591,Union Mutual Fund,