ISIN,Security Name,Segment,NSE Symbol,Type,Token ID
INE917I01010,Bajaj Auto Ltd.,1,BAJAJ-AUTO,Share,16669
INE158A01026,Hero MotoCorp Ltd.,1,HEROMOTOCO,Share,1348
INE669C01036,Tech Mahindra Ltd.,1,TECHM,Share,13538
INE296A01024,Bajaj Finance Ltd.,1,BAJFINANCE,Share,317
INE095A01012,IndusInd Bank Ltd.,1,INDUSINDBK,Share,5258
INE030A01027,Hindustan Unilever Ltd.,1,HINDUNILVR,Share,1394
INE021A01026,Asian Paints Ltd.,1,ASIANPAINT,Share,236
INE018A01030,Larsen & Toubro Ltd.,1,LT,Share,11483
INE216A01030,Britannia Industries Ltd.,1,BRITANNIA,Share,547
INE668F01031,Jyothy Labs Ltd.,1,JYOTHYLAB,Share,15146
INE214T01019,Larsen & Toubro Infotech Ltd.,1,LTI,Share,17818
INE860A01027,HCL Technologies Ltd.,1,HCLTECH,Share,7229
INE467B01029,Tata Consultancy Services Ltd.,1,TCS,Share,11536
INE318A01026,Pidilite Industries Ltd.,1,PIDILITIND,Share,2664
INE101A01026,Mahindra & Mahindra Ltd.,1,M&M,Share,2031
INE090A01021,ICICI Bank Ltd.,1,ICICIBANK,Share,4963
INE081A01012,Tata Steel Ltd.,1,TATASTEEL,Share,3499
INE075A01022,Wipro Ltd.,1,WIPRO,Share,3787
INE002A01018,Reliance Industries Ltd.,1,RELIANCE,Share,2885
INE045B01015,Nelco Ltd.,1,NELCO,Share,2388
INE259A01022,Colgate-Palmolive (India) Ltd.,1,COLPAL,Share,15141
INE169A01031,Coromandel International Ltd.,1,COROMANDEL,Share,739
INE999A01015,KSB Ltd.,1,KSB,Share,1949
INE985S01024,TeamLease Services Ltd.,1,TEAMLEASE,Share,12716
INE978A01027,Heritage Foods Ltd.,1,HERITGFOOD,Share,4598
INE974H01013,Meghmani Organics Ltd.,1,MEGH,Share,14750
INE956G01038,VA Tech Wabag Ltd.,1,WABAG,Share,20188
INE943C01027,Srikalahasthi Pipes Ltd.,1,SRIPIPES,Share,14927
INE935N01012,Dixon Technologies (India) Ltd.,1,DIXON,Share,21690
INE934S01014,GNA Axles Ltd.,1,GNA,Share,18571
INE933S01016,Indiamart Intermesh Ltd.,1,INDIAMART,Share,10726
INE931S01010,Adani Transmission Ltd.,1,ADANITRANS,Share,10217
INE927D01028,JBM Auto Ltd.,1,JBMA,Share,11655
INE917M01012,Dilip Buildcon Ltd.,1,DBL,Share,18086
INE914M01019,Aster DM Healthcare Ltd.,3,ASTERDM,Share,540975
INE907A01026,Kalyani Steels Ltd.,1,KSL,Share,18889
INE898S01029,Majesco Ltd.,1,MAJESCO,Share,10310
INE896L01010,Indostar Capital Finance Ltd.,3,INDOSTAR,Share,541336
INE891D01026,Redington (India) Ltd.,1,REDINGTON,Share,14255
INE883N01014,Parag Milk Foods Ltd.,1,PARAGMILK,Share,17130
INE878K01010,BF Investment Ltd.,1,BFINVEST,Share,21113
INE878A01011,GE Power India Ltd.,1,GEPIL,Share,7862
INE876N01018,Orient Cement Ltd.,1,ORIENTCEM,Share,30089
INE873D01024,Indoco Remedies,1,INDOCO,Share,11677
INE868B01028,NCC Ltd.,1,NCC,Share,2319
INE855B01025,Rain Industries Ltd.,1,RAIN,Share,15337
INE852F01015,Gateway Distriparks Ltd.,1,GDL,Share,11735
INE844O01030,Gujarat Gas Ltd.,1,GUJGASLTD,Share,10599
INE838B01013,Bharat Rasayan Ltd.,1,BHARATRAS,Share,3834
INE836B01017,Satin Creditcare Network Ltd.,3,SATIN,Share,539404
INE836A01035,Birlasoft Ltd.,1,BSOFT,Share,6994
INE824B01021,Tata Steel BSL Ltd.,1,TATASTLBSL,Share,447
INE823G01014,JK Cement Ltd.,1,JKCEMENT,Share,13270
INE818H01020,LT Foods Ltd.,1,DAAWAT,Share,13816
INE816B01027,Filatex India Ltd.,3,FILATEX,Share,526227
INE814H01011,Adani Power Ltd.,3,ADANIPOWER,Share,533096
INE807F01027,Sequent Scientific Ltd.,1,SEQUENT,Share,14296
INE793A01012,Accelya Kale,1,ACCELYA,Share,7053
INE791I01019,Brigade Enterprises Ltd.,1,BRIGADE,Share,15184
INE782A01015,Johnson Controls - Hitachi Air Conditioning India Ltd.,1,JCHAC,Share,4491
INE780C01023,JM Financial Ltd.,1,JMFINANCIL,Share,13637
INE767A01016,Aarti Drugs Ltd.,1,AARTIDRUGS,Share,4481
INE764D01017,VST Tillers Tractors Ltd,1,VSTTILLERS,Share,24292
INE759A01021,Mastek Ltd.,1,MASTEK,Share,2124
INE752H01013,Care Ratings Ltd.,1,CARERATING,Share,29113
INE749A01030,Jindal Steel & Power Ltd.,1,JINDALSTEL,Share,6733
INE739E01017,Cera Sanitaryware Ltd.,3,CERA,Share,532443
INE738I01010,eClerx Services Ltd.,1,ECLERX,Share,15179
INE725G01011,ICRA Ltd.,1,ICRA,Share,14523
INE725A01022,Nava Bharat Ventures Ltd.,1,NBVENTURES,Share,4014
INE722A01011,Shriram City Union Finance Ltd.,1,SHRIRAMCIT,Share,11739
INE707A01012,Vindhya Telelinks Ltd,1,VINDHYATEL,Share,3694
INE703B01027,Ratnamani Metals & Tubes Ltd.,1,RATNAMANI,Share,13451
INE702C01019,APL Apollo Tubes Ltd.,1,APLAPOLLO,Share,25780
INE688A01022,Transport Corporation Of India Ltd.,1,TCI,Share,10580
INE686Y01026,Fine Organic Industries Ltd.,1,FINEORG,Share,3744
INE674A01014,Tata Steel Long Products Ltd.,1,TATASTLLP,Share,1639
INE672A01018,Tata Investment Corporation Ltd.,1,TATAINVEST,Share,1621
INE671H01015,Sobha Ltd.,1,SOBHA,Share,13826
INE666D01022,Borosil Glass Works Ltd.,1,BOROSIL,Share,3149
INE647O01011,Aditya Birla Fashion and Retail Ltd.,1,ABFRL,Share,30108
INE635Q01029,Gulf Oil Lubricants India Ltd.,1,GULFOILLUB,Share,4391
INE625G01013,Welspun Enterprises Ltd.,1,WELENT,Share,11626
INE612J01015,Repco Home Finance Ltd.,1,REPCOHOME,Share,29598
INE603A01013,Prakash Industries Ltd.,1,PRAKASH,Share,2708
INE602A01023,Phillips Carbon Black Ltd.,1,PHILIPCARB,Share,2649
INE599M01018,Just Dial Ltd.,3,JUSTDIAL,Share,535648
INE594H01019,Thyrocare Technologies Ltd.,1,THYROCARE,Share,17032
INE592A01026,Orient Paper & Industries Ltd.,1,ORIENTPPR,Share,2496
INE589A01014,NLC India Ltd.,1,NLCINDIA,Share,8585
INE586V01016,TCI Express Ltd.,1,TCIEXP,Share,19223
INE586B01026,Taj GVK Hotels & Resorts Ltd.,1,TAJGVK,Share,9354
INE585A01020,National Peroxide Ltd,3,NATPEROX,Share,500298
INE578A01017,Heidelberg Cement India Ltd.,1,HEIDELBERG,Share,2316
INE572J01011,Spandana Sphoorty Financial Ltd,1,SPANDANA,Share,11435
INE572E01012,PNB Housing Finance Ltd.,1,PNBHOUSING,Share,18908
INE563J01010,Astec Lifesciences Ltd,1,ASTEC,Share,17728
INE562A01011,Indian Bank,1,INDIANB,Share,14309
INE560A01015,India Glycols Ltd.,1,INDIAGLYCO,Share,1521
INE559A01017,IFB Industries Ltd.,1,IFBIND,Share,1485
INE557A01011,HIL LIMITED,1,HIL,Share,1455
INE551W01018,UJJIVAN SMALL FINANCE BANK LTD,1,,Share,15228
INE541A01023,GMM Pfaudler Ltd,1,GMMPFAUDLR,Share,1570
INE533A01012,Goodyear India Ltd.,3,GOODYEAR,Share,500168
INE529A01010,Federal-Mogul Goetze (India) Ltd.,1,FMGOETZE,Share,1190
INE524A01029,Gabriel India Ltd.,1,GABRIEL,Share,1085
INE520A01027,Zensar Technologies Ltd.,1,ZENSARTECH,Share,1076
INE516A01017,Uflex Ltd.,1,UFLEX,Share,1053
INE513A01014,Schaeffler India Ltd.,1,SCHAEFFLER,Share,1011
INE506A01018,Dredging Corporation Of India Ltd.,1,DREDGECORP,Share,11271
INE501A01019,Deepak Fertilisers & Petrochemicals Corporation Ltd.,1,DEEPAKFERT,Share,827
INE500L01026,SH Kelkar & Co Ltd.,1,SHK,Share,11212
INE498B01024,Shoppers Stop Ltd.,3,SHOPERSTOP,Share,532638
INE495A01022,Dalmia Bharat Sugar & Industries Ltd.,1,DALMIASUG,Share,781
INE491A01021,City Union Bank Ltd.,1,CUB,Share,5701
INE484C01022,Tide Water Oil Company (India) Ltd.,1,TIDEWATER,Share,14019
INE475B01022,Hikal Ltd.,1,HIKAL,Share,9668
INE473B01035,Hatsun Agro Products Ltd.,1,HATSUN,Share,3892
INE472A01039,Blue Star Ltd.,1,BLUESTARCO,Share,8311
INE461C01038,Greenply Industries Ltd.,1,GREENPLY,Share,3987
INE460H01021,Star Cement Ltd.,1,STARCEMENT,Share,21091
INE455T01018,Jindal Stainless (Hisar) Ltd.,1,JSLHISAR,Share,12304
INE455I01029,Kaveri Seed Company Ltd.,1,KSCL,Share,14972
INE442H01029,Ashoka Buildcon Ltd.,1,ASHOKA,Share,20182
INE437A01024,Apollo Hospitals Enterprise Ltd.,1,APOLLOHOSP,Share,157
INE426A01027,Alembic Ltd.,1,ALEMBICLTD,Share,79
INE425Y01011,CESC Ventures Limited,1,CESCVENT,Share,8119
INE424H01027,Sun TV Network Ltd.,1,SUNTV,Share,13404
INE421D01022,CCL Products (India) Ltd.,1,CCL,Share,11452
INE418H01029,Allcargo Logistics Ltd.,1,ALLCARGO,Share,13501
INE410P01011,Narayana Hrudayalaya Ltd.,1,NH,Share,11840
INE399L01023,Adani Gas Ltd.,1,ADANIGAS,Share,6066
INE385W01011,Dishman Carbogen Amcis Ltd.,3,DCAL,Share,540701
INE373A01013,BASF India Ltd.,1,BASF,Share,368
INE372A01015,Apar Industries Ltd.,1,APARINDS,Share,11491
INE371P01015,Amber Enterprises India Ltd.,1,AMBER,Share,1185
INE371A01025,Graphite India Ltd.,1,GRAPHITE,Share,592
INE369A01029,Excel Industries Ltd.,1,EXCELINDUS,Share,11471
INE366I01010,VRL Logistics Ltd.,1,VRLLOG,Share,8696
INE349A01021,NRB Bearings Ltd.,1,NRBBEARING,Share,7553
INE348L01012,MAS Financial Services Ltd.,1,MASFIN,Share,199
INE347A01017,Mangalam Cement,1,MANGLMCEM,Share,2106
INE346W01013,Apex Frozen Foods Ltd.,1,APEX,Share,21623
INE345A01011,Hindustan Oil Exploration Company Ltd.,1,HINDOILEXP,Share,1403
INE343H01029,Solar Industries (India) Ltd.,1,SOLARINDS,Share,13332
INE342J01019,Wabco India Ltd.,1,WABCOINDIA,Share,16915
INE340A01012,Birla Corporation Ltd.,1,BIRLACORPN,Share,480
INE338A01024,Thirumalai Chemicals Ltd.,1,TIRUMALCHM,Share,3496
INE337A01034,L.g.Balkrishnan & Bros. Ltd.,1,LGBBROSLTD,Share,18321
INE334L01012,Ujjivan Financial Services Ltd.,1,UJJIVAN,Share,17069
INE317F01035,Nesco Ltd.,1,NESCO,Share,15409
INE312H01016,Inox Leisure Ltd.,1,INOXLEISUR,Share,13221
INE310A01015,Nilkamal Ltd.,1,NILKAMAL,Share,2421
INE306L01010,Quick Heal Technologies Ltd.,1,QUICKHEAL,Share,13116
INE305A01015,Tourism Finance Corporation Of India Ltd.,1,TFCILTD,Share,3466
INE302M01033,Prabhat Dairy Ltd.,3,PRABHAT,Share,539351
INE296G01013,MUTHOOT CAPITAL SERVICES LIMITED,1,MUTHOOTCAP,Share,10415
INE289B01019,GIC Housing Finance Ltd.,1,GICHSGFIN,Share,1139
INE285J01028,Security And Intelligence Services India Ltd.,1,SIS,Share,21501
INE285A01027,Elgi Equipments Ltd.,1,ELGIEQUIP,Share,937
INE284A01012,Esab India Ltd.,1,ESABINDIA,Share,955
INE275B01026,Huhtamaki PPL,1,PAPERPROD,Share,2562
INE271B01025,Maharashtra Seamless Ltd.,1,MAHSEAMLES,Share,2088
INE269B01029,Lakshmi Machine Works Ltd.,1,LAXMIMACH,Share,1979
INE266D01021,Grauer & Weil (India) Ltd.,3,GRAUEWEIL,Share,505710
INE264T01014,Capacite Infraprojects Ltd.,1,CAPACITE,Share,21749
INE258B01022,FDC Ltd.,1,FDC,Share,4898
INE256C01024,Triveni Engineering & Industries Ltd.,1,TRIVENI,Share,13081
INE255A01020,Essel Propack Ltd.,1,ESSELPACK,Share,981
INE248A01017,ITI Ltd.,1,ITI,Share,1675
INE235A01022,Finolex Cables Ltd.,1,FINCABLES,Share,1038
INE234A01025,Novartis India Ltd.,3,NOVARTIND,Share,500672
INE233B01017,Blue Dart Express Ltd.,1,BLUEDART,Share,495
INE232I01014,Sun Pharma Advanced Research Company Ltd.,1,SPARC,Share,14788
INE229C01013,SAGAR CEMENTS LTD,1,SAGCEM,Share,14068
INE225D01027,Symphony Ltd.,1,SYMPHONY,Share,24190
INE221J01015,Sharda Cropchem Ltd.,1,SHARDACROP,Share,4992
INE220G01021,Jindal Stainless Ltd.,1,JSL,Share,11236
INE220B01022,Kalpataru Power Transmission Ltd.,1,KALPATPOWR,Share,1814
INE203A01020,Astrazeneca Pharma India Ltd.,1,ASTRAZEN,Share,5610
INE200A01026,GE T&D India Ltd.,3,GET&D,Share,522275
INE199G01027,Jagran Prakashan Ltd.,1,JAGRAN,Share,13211
INE193E01025,Bajaj Electricals Ltd.,1,BAJAJELEC,Share,15034
INE188B01013,Igarashi Motors India Ltd.,1,IGARASHI,Share,634
INE183A01016,Finolex Industries Ltd.,1,FINPIPE,Share,1041
INE180A01020,Max Financial Services Ltd.,1,MFSL,Share,2142
INE177A01018,Ingersoll-Rand (India) Ltd.,1,INGERRAND,Share,1597
INE171Z01018,Bharat Dynamics Ltd.,1,BDL,Share,2144
INE170I01016,Hinduja Global Solutions Ltd.,1,HGS,Share,14712
INE164A01016,Balmer Lawrie & Company Ltd.,1,BALMLAWRIE,Share,338
INE163A01018,Nocil Ltd.,1,NOCIL,Share,2442
INE160A01022,Punjab National Bank,1,PNB,Share,10666
INE150G01020,Lux Industries Ltd.,1,LUXIND,Share,11301
INE146L01010,Kirloskar Oil Engines Ltd.,1,KIRLOSENG,Share,20936
INE142Z01019,Orient Electric Ltd.,1,ORIENTELEC,Share,2972
INE142I01023,Take Solutions Ltd.,3,TAKE,Share,532890
INE124G01033,Delta Corp Ltd.,1,DELTACORP,Share,15044
INE121E01018,JSW Energy Ltd.,1,JSWENERGY,Share,17869
INE119A01028,Balrampur Chini Mills Ltd.,1,BALRAMCHIN,Share,341
INE112A01023,Corporation Bank,3,CORPBANK,Share,533204
INE109A01011,Shipping Corporation Of India Ltd.,1,SCI,Share,3048
INE107A01015,Tamil Nadu Newsprint & Papers Ltd.,1,TNPL,Share,3980
INE105A01035,Sundaram-Clayton Ltd.,1,SUNCLAYLTD,Share,29008
INE096B01018,Nucleus Soft.,1,NUCLEUS,Share,10791
INE089C01029,Sterlite Technologies Ltd.,1,STRTECH,Share,9309
INE076B01028,Siyaram Silk Mills Ltd.,1,SIYSIL,Share,14096
INE075D01018,GM Breweries Ltd.,1,GMBREW,Share,1168
INE070I01018,Insecticides (India) Ltd.,1,INSECTICID,Share,14657
INE066F01012,Hindustan Aeronautics Ltd.,1,HAL,Share,2303
INE056C01010,Tata Metaliks Ltd.,1,TATAMETALI,Share,3423
INE052I01032,CAMLIN FINE SCIENCES LIMITED,1,CAMLINFINE,Share,6216
INE050A01025,Bombay Burmah Trading Corporation Ltd.,1,BBTC,Share,380
INE04I401011,KPIT Technologies Ltd.,1,KPITTECH,Share,9683
INE048G01026,Navin Fluorine International Ltd.,1,NAVINFLUOR,Share,14672
INE041A01016,Dhampur Sugar Mills Ltd.,1,DHAMPURSUG,Share,857
INE039C01032,Jamna Auto Industries Ltd.,1,JAMNAAUTO,Share,20778
INE038F01029,TV Today Network Ltd.,1,TVTODAY,Share,11275
INE019C01026,Himadri Speciality Chemical Ltd.,1,HSCL,Share,14334
INE00WC01019,Affle (India) Ltd.,1,AFFLE,Share,11343
INE008A01015,IDBI Bank Ltd.,1,IDBI,Share,1476
INE007B01023,Geojit Financial Services Ltd.,1,GEOJITFSL,Share,11896
INE006I01046,Astral Poly Technik Ltd.,1,ASTRAL,Share,14418
INE988K01017,Equitas Holdings Ltd.,1,EQUITAS,Share,16852
INE987B01026,Natco Pharma Ltd.,1,NATCOPHARM,Share,3918
INE976G01028,RBL Bank Ltd.,1,RBLBANK,Share,18391
INE976A01021,West Coast Paper Mills Ltd.,1,WSTCSTPAPR,Share,3799
INE974X01010,Tube Investments of India Ltd.,1,TIINDIA,Share,312
INE970X01018,Lemon Tree Hotels Ltd.,1,LEMONTREE,Share,2606
INE962Y01013,Ircon International Ltd.,3,IRCON,Share,524200
INE951I01027,V-Guard Industries Ltd.,1,VGUARD,Share,15362
INE947Q01010,Laurus Labs,3,LAURUSLABS,Share,540222
INE944F01028,Radico Khaitan Ltd.,1,RADICO,Share,10990
INE939A01011,Strides Pharma Science Ltd.,1,STAR,Share,7374
INE933K01021,Bajaj Consumer Care Ltd.,1,BAJAJCON,Share,19531
INE913H01037,Endurance Technologies Ltd.,1,ENDURANCE,Share,18822
INE901L01018,Alembic Pharmaceuticals Ltd.,1,APLLTD,Share,25328
INE878B01027,KEI Industries Ltd.,1,KEI,Share,13310
INE877F01012,PTC India Ltd.,1,PTC,Share,11355
INE871C01038,Avanti Feeds Ltd.,1,AVANTIFEED,Share,7936
INE870D01012,National Fertilizers Ltd.,1,NFL,Share,13925
INE849A01020,Trent Ltd.,1,TRENT,Share,1964
INE842C01021,Minda Corporation Ltd.,1,MINDACORP,Share,25897
INE837H01020,Advanced Enzyme Technologies Ltd.,1,ADVENZYMES,Share,18039
INE825A01012,Vardhman Textiles Ltd.,1,VTL,Share,2073
INE821I01014,IRB Infrastructure Developers Ltd.,1,IRB,Share,15313
INE813H01021,Torrent Power Ltd.,1,TORNTPOWER,Share,13786
INE811K01011,Prestige Estate Projects Ltd.,3,PRESTIGE,Share,533274
INE789E01012,JK Paper Ltd.,1,JKPAPER,Share,11860
INE787D01026,Balkrishna Industries Ltd.,1,BALKRISIND,Share,335
INE786A01032,JK Lakshmi Cement Ltd.,3,JKLAKSHMI,Share,500380
INE769A01020,Aarti Industries Ltd.,1,AARTIIND,Share,7
INE768C01010,Zydus Wellness Ltd.,1,ZYDUSWELL,Share,17635
INE766P01016,Mahindra Logistics Ltd.,1,MAHLOG,Share,385
INE763G01038,ICICI Securities Ltd.,1,ISEC,Share,2489
INE752P01024,Future Retail Ltd.,1,FRETAIL,Share,18378
INE745G01035,Multi Commodity Exchange Of India Ltd.,1,MCX,Share,31181
INE741K01010,CreditAccess Grameen Ltd.,1,CREDITACC,Share,4421
